stadiumID;StadiumName;Cities_CityID;Capacity;Latitude;Longitude
1;Allianz Arena;1;75000;48.2169288;11.6194624
2;Wanda Metropolitano;2;68456;48.2169288;11.6194624
3;Red Bull Arena;3;30188;40.4361939;-3.6016561
4;Lokomotiv Stadium;4;27320;55.8035165;37.7388393
5;Santiago Bernabeu;2;81044;40.4530387;-3.6905224
6;Borussia-Park;5;59724;51.1745698;6.3833168
7;Donbass Arena;6;52187;48.0211066;37.8080328
8;Giuseppe Meazza;7;80018;45.4781236;9.1217733
9;Etihad Stadium;8;55097;53.4831381;-2.202584
10;Estádio do Dragão;9;50033;41.16177;-8.5857797
11;Georgios Karaiskakis;11;32115;37.9465855;23.6622109
12;Stade Vélodrome;10;67394;43.269827;5.3936986
13;Anfield;12;53394;53.4308294;-2.9630187
14;Atleti Azzurri d'Italia;13;21300;45.7092003;9.6786567
15;Johan Cruyff Arena;14;55500;52.3143713;4.9397754
16;MCH Arena;15;11432;56.1168458;8.9495426
17;Stamford Bridge;16;41837;51.481663;-0.1931452
18;Ramón Sánchez Pizjuán;17;43883;37.3840655;-5.9728789
19;Krasnodar Stadium;18;35074;45.0449659;39.0264975
20;Roazhon Park;19;29778;48.1074881;-1.7150551
21;Signal Iduna Park;20;81365;51.4925888;7.4496687
22;Stadio Olimpico;21;72698;41.934077;12.4525363
23;Jan Breydel Stadium;22;29042;51.1932398;3.1778274
24;Gazprom Arena;23;68000;59.972728;30.2192158
25;Juventus Stadium;24;41507;45.1096276;7.6390544
26;Camp Nou;25;99354;41.380896;2.1206311
27;Kyiv Olympic Stadium;26;70050;50.4334058;30.5196673
28;Groupama Arena;27;23698;47.4752876;19.0931251
29;Parc des Princes;28;47929;48.8414356;2.25086
30;Red Bull Arena;29;47069;51.3457824;12.3460802
31;Old Trafford;8;76212;53.4597699;-2.2952338
32;Basaksehir Fatih Terim Stadium;30;17319;41.122784;28.8065302
