round,Date,matchID,ballPosession,corners,freekicks,offsides,score,shotsOnGoal,Teams_teamID,home,team_name,GroupName
1,2020-10-21,15,60x40,6x7,18x9,1x5,4x0,5x1,1,1,"Bayern Munich",A
2,2020-10-27,18,36x64,4x4,19x13,2x5,1x2,5x4,1,0,"Bayern Munich",A
3,2020-11-03,35,41x59,10x3,14x18,7x2,2x6,11x9,1,0,"Bayern Munich",A
4,2020-11-25,62,62x38,5x5,18x15,1x1,3x1,5x11,1,1,"Bayern Munich",A
5,2020-12-01,71,43x57,3x4,12x11,3x0,1x1,3x3,1,0,"Bayern Munich",A
6,2020-12-09,96,66x34,7x2,19x15,1x9,2x0,7x3,1,1,"Bayern Munich",A
1,2020-10-21,15,60x40,6x7,18x9,1x5,4x0,5x1,2,0,"Atletico Madrid",A
2,2020-10-27,23,51x49,9x5,16x16,2x2,3x2,8x3,2,1,"Atletico Madrid",A
3,2020-11-03,34,40x60,1x10,10x12,0x4,1x1,1x5,2,0,"Atletico Madrid",A
4,2020-11-25,63,59x41,16x1,10x21,3x2,0x0,5x1,2,1,"Atletico Madrid",A
5,2020-12-01,71,43x57,3x4,12x11,3x0,1x1,3x3,2,1,"Atletico Madrid",A
6,2020-12-09,91,56x44,7x2,11x16,2x0,0x2,2x4,2,0,"Atletico Madrid",A
1,2020-10-21,9,52x48,8x3,16x17,0x0,2x2,7x3,3,1,Salzburg,A
2,2020-10-27,23,51x49,9x5,16x16,2x2,3x2,8x3,3,0,Salzburg,A
3,2020-11-03,35,41x59,10x3,14x18,7x2,2x6,11x9,3,1,Salzburg,A
4,2020-11-25,62,62x38,5x5,18x15,1x1,3x1,5x11,3,0,Salzburg,A
5,2020-12-01,66,51x49,6x8,17x11,0x1,1x3,3x7,3,0,Salzburg,A
6,2020-12-09,91,56x44,7x2,11x16,2x0,0x2,2x4,3,1,Salzburg,A
1,2020-10-21,9,52x48,8x3,16x17,0x0,2x2,7x3,4,0,"Lokomotiv Moscow",A
2,2020-10-27,18,36x64,4x4,19x13,2x5,1x2,5x4,4,1,"Lokomotiv Moscow",A
3,2020-11-03,34,40x60,1x10,10x12,0x4,1x1,1x5,4,1,"Lokomotiv Moscow",A
4,2020-11-25,63,59x41,16x1,10x21,3x2,0x0,5x1,4,0,"Lokomotiv Moscow",A
5,2020-12-01,66,51x49,6x8,17x11,0x1,1x3,3x7,4,1,"Lokomotiv Moscow",A
6,2020-12-09,96,66x34,7x2,19x15,1x9,2x0,7x3,4,0,"Lokomotiv Moscow",A
1,2020-10-21,10,57x43,7x1,9x15,4x1,2x3,5x6,5,1,"Real Madrid",B
2,2020-10-27,22,36x64,1x8,7x21,2x0,2x2,5x6,5,0,"Real Madrid",B
3,2020-11-03,36,52x48,6x2,14x12,0x0,3x2,7x3,5,1,"Real Madrid",B
4,2020-11-25,61,42x58,2x6,10x6,0x0,0x2,1x5,5,0,"Real Madrid",B
5,2020-12-01,65,44x56,2x11,18x10,0x3,2x0,4x7,5,0,"Real Madrid",B
6,2020-12-09,92,62x38,17x11,5x6,6x1,2x0,7x1,5,1,"Real Madrid",B
1,2020-10-21,14,56x44,3x2,11x18,3x0,2x2,4x2,6,0,"B. Monchengladbach",B
2,2020-10-27,22,36x64,1x8,7x21,2x0,2x2,5x6,6,1,"B. Monchengladbach",B
3,2020-11-03,33,55x45,3x6,18x7,0x4,0x6,1x9,6,0,"B. Monchengladbach",B
4,2020-11-25,58,47x53,4x5,13x15,1x1,4x0,6x3,6,1,"B. Monchengladbach",B
5,2020-12-01,70,53x47,3x5,15x15,1x2,2x3,5x4,6,1,"B. Monchengladbach",B
6,2020-12-09,92,62x38,17x11,5x6,6x1,2x0,7x1,6,0,"B. Monchengladbach",B
1,2020-10-21,10,57x43,7x1,9x15,4x1,2x3,5x6,7,0,"Shakhtar Donetsk",B
2,2020-10-27,17,43x57,2x6,17x5,0x3,0x0,1x4,7,1,"Shakhtar Donetsk",B
3,2020-11-03,33,55x45,3x6,18x7,0x4,0x6,1x9,7,1,"Shakhtar Donetsk",B
4,2020-11-25,58,47x53,4x5,13x15,1x1,4x0,6x3,7,0,"Shakhtar Donetsk",B
5,2020-12-01,65,44x56,2x11,18x10,0x3,2x0,4x7,7,1,"Shakhtar Donetsk",B
6,2020-12-09,95,54x46,13x0,10x16,4x1,0x0,4x3,7,0,"Shakhtar Donetsk",B
1,2020-10-21,14,56x44,3x2,11x18,3x0,2x2,4x2,8,1,Inter,B
2,2020-10-27,17,43x57,2x6,17x5,0x3,0x0,1x4,8,0,Inter,B
3,2020-11-03,36,52x48,6x2,14x12,0x0,3x2,7x3,8,0,Inter,B
4,2020-11-25,61,42x58,2x6,10x6,0x0,0x2,1x5,8,1,Inter,B
5,2020-12-01,70,53x47,3x5,15x15,1x2,2x3,5x4,8,0,Inter,B
6,2020-12-09,95,54x46,13x0,10x16,4x1,0x0,4x3,8,1,Inter,B
1,2020-10-21,13,65x35,4x1,3x15,0x0,3x1,6x2,9,1,"Manchester City",C
2,2020-10-27,19,37x63,1x5,14x8,3x5,0x3,2x4,9,0,"Manchester City",C
3,2020-11-03,38,54x46,7x2,9x9,1x2,3x0,6x1,9,1,"Manchester City",C
4,2020-11-25,57,44x56,0x4,9x13,3x1,0x1,0x10,9,0,"Manchester City",C
5,2020-12-01,69,36x64,0x11,17x10,0x4,0x0,1x5,9,0,"Manchester City",C
