matches_matchID;score;ballPosession;shotsOnGoal;freekicks;corners;offsides
1;1x2;51x49;3x3;13x15;8x4;0x3
2;0x2;48x52;3x6;11x15;2x5;1x0
3;1x1;60x40;7x3;10x22;3x2;0x3
4;2x0;49x51;7x3;19x19;3x2;1x4
5;1x2;59x41;5x6;15x10;11x8;3x2
6;3x1;39x61;5x7;8x9;7x6;4x0
7;0x0;44x56;4x2;10x13;2x5;1x1
8;5x1;58x42;11x2;18x9;5x0;2x4
9;2x2;52x48;7x3;16x17;8x3;0x0
10;2x3;57x43;5x6;9x15;7x1;4x1
11;1x0;53x47;3x2;14x19;2x3;7x1
12;0x4;52x48;3x11;15x10;4x5;0x3
13;3x1;65x35;6x2;3x15;4x1;0x0
14;2x2;56x44;4x2;11x18;3x2;3x0
15;4x0;60x40;5x1;18x9;6x7;1x5
16;0x1;47x53;4x4;10x12;3x9;2x1
17;0x0;43x57;1x4;17x5;2x6;0x3
18;1x2;36x64;5x4;19x13;4x4;2x5
19;0x3;37x63;2x4;14x8;1x5;3x5
20;2x0;60x40;2x2;11x12;3x2;1x1
21;2x0;45x55;5x3;21x13;4x9;0x4
22;2x2;36x64;5x6;7x21;1x8;2x0
23;3x2;51x49;8x3;16x16;9x5;2x2
24;2x2;46x54;6x7;16x16;7x6;5x0
25;0x4;33x67;4x8;15x12;6x4;2x3
26;0x2;48x52;4x4;9x11;6x5;0x2
27;1x0;62x38;7x2;19x20;11x0;6x0
28;5x0;48x52;8x2;22x18;2x5;1x2
29;0x2;48x52;0x5;16x20;1x4;3x0
30;2x2;51x49;4x3;11x15;5x3;2x0
31;2x0;65x35;6x0;7x8;8x1;1x2
32;1x1;58x42;3x3;12x20;7x2;1x0
33;0x6;55x45;1x9;18x7;3x6;0x4
34;1x1;40x60;1x5;10x12;1x10;0x4
35;2x6;41x59;11x9;14x18;10x3;7x2
36;3x2;52x48;7x3;14x12;6x2;0x0
37;1x2;46x54;4x4;22x19;3x3;1x4
38;3x0;54x46;6x1;9x9;7x2;1x2
39;3x0;42x58;4x0;19x18;3x6;5x1
40;0x5;45x55;6x12;18x7;6x7;4x2
41;1x1;48x52;2x3;9x20;3x3;5x0
42;2x1;37x63;3x2;10x10;1x5;1x1
43;3x2;61x39;12x3;14x11;6x4;0x2
44;2x1;47x53;5x2;24x21;4x3;2x7
45;1x4;48x52;3x8;13x8;2x1;0x2
46;0x3;50x50;4x6;7x16;3x3;4x0
47;3x0;57x43;4x2;9x16;2x3;4x3
48;2x1;57x43;14x7;3x12;10x8;2x0
49;1x2;51x49;5x5;11x13;11x3;0x2
50;1x2;41x59;3x8;11x19;1x3;4x1
51;1x0;41x59;3x3;18x14;2x6;0x1
52;4x1;49x51;8x4;12x14;6x2;2x1
53;3x1;48x52;7x5;12x9;6x2;2x0
54;2x1;62x38;7x2;10x24;6x6;9x0
55;0x4;37x63;3x7;7x12;2x6;3x1
56;3x0;51x49;8x0;14x12;9x0;1x2
57;0x1;44x56;0x10;9x13;0x4;3x1
58;4x0;47x53;6x3;13x15;4x5;1x1
59;0x2;55x45;2x4;16x20;3x2;3x1
60;0x2;54x46;0x4;16x14;2x2;2x2
61;0x2;42x58;1x5;10x6;2x6;0x0
62;3x1;62x38;5x11;18x15;5x5;1x1
63;0x0;59x41;5x1;10x21;16x1;3x2
64;3x1;56x44;9x5;14x16;8x1;3x4
65;2x0;44x56;4x7;18x10;2x11;0x3
66;1x3;51x49;3x7;17x11;6x8;0x1
67;2x1;54x46;5x2;20x12;6x3;1x7
68;1x0;45x55;5x4;19x17;1x6;2x7
69;0x0;36x64;1x5;17x10;0x11;0x4
70;2x3;53x47;5x4;15x15;3x5;1x2
71;1x1;43x57;3x3;12x11;3x4;3x0
72;59x41;8x3;4x4;18x12;4x2;0x1
73;1x0;45x55;3x5;22x11;10x7;0x0
74;3x4;46x54;4x8;17x13;4x6;3x1
75;0x4;55x45;3x7;16x10;3x7;1x1
76;1x3;44x56;5x6;14x23;3x5;3x4
77;3x0;53x47;6x3;12x11;8x5;3x0
78;0x3;43x57;2x5;17x14;5x0;4x4
79;1x1;53x47;4x6;7x6;1x6;0x1
80;3x0;49x51;5x1;13x13;6x3;3x3
81;1x2;45x55;4x6;14x13;6x8;5x1
82;2x2;52x48;8x3;15x13;2x4;1x1
83;1x3;50x50;6x5;11x18;10x2;1x2
84;3x2;47x53;4x7;7x21;4x10;5x0
85;1x0;43x57;2x2;18x16;2x5;2x0
86;1x1;60x40;5x2;10x21;6x2;1x1
87;0x3;57x43;7x4;16x10;5x1;3x1
88;5x1;64x36;9x4;20x6;5x6;3x0
89;1x1;52x48;6x4;13x12;9x3;5x3
90;0x1;63x37;2x1;17x23;6x4;3x3
91;0x2;56x44;2x4;11x16;7x2;2x0
92;2x0;62x38;7x1;5x6;17x11;6x1
93;0x2;54x46;1x3;20x15;4x4;4x2
94;3x0;53x47;8x2;9x10;6x3;3x3
95;0x0;54x46;4x3;10x16;13x0;4x1
96;2x0;66x34;7x3;19x15;7x2;1x9
