matchID;Date;round
1;2020-10-20;1
2;2020-10-20;1
3;2020-10-20;1
4;2020-10-20;1
5;2020-10-20;1
6;2020-10-20;1
7;2020-10-20;1
8;2020-10-20;1
9;2020-10-21;1
10;2020-10-21;1
11;2020-10-21;1
12;2020-10-21;1
13;2020-10-21;1
14;2020-10-21;1
15;2020-10-21;1
16;2020-10-21;1
17;2020-10-27;2
18;2020-10-27;2
19;2020-10-27;2
20;2020-10-27;2
21;2020-10-27;2
22;2020-10-27;2
23;2020-10-27;2
24;2020-10-27;2
25;2020-10-28;2
26;2020-10-28;2
27;2020-10-28;2
28;2020-10-28;2
29;2020-10-28;2
30;2020-10-28;2
31;2020-10-28;2
32;2020-10-28;2
33;2020-11-03;3
34;2020-11-03;3
35;2020-11-03;3
36;2020-11-03;3
37;2020-11-03;3
38;2020-11-03;3
39;2020-11-03;3
40;2020-11-03;3
41;2020-11-04;3
42;2020-11-04;3
43;2020-11-04;3
44;2020-11-04;3
45;2020-11-04;3
46;2020-11-04;3
47;2020-11-04;3
48;2020-11-04;3
49;2020-11-24;4
50;2020-11-24;4
51;2020-11-24;4
52;2020-11-24;4
53;2020-11-24;4
54;2020-11-24;4
55;2020-11-24;4
56;2020-11-24;4
57;2020-11-25;4
58;2020-11-25;4
59;2020-11-25;4
60;2020-11-25;4
61;2020-11-25;4
62;2020-11-25;4
63;2020-11-25;4
64;2020-11-25;4
65;2020-12-01;5
66;2020-12-01;5
67;2020-12-01;5
68;2020-12-01;5
69;2020-12-01;5
70;2020-12-01;5
71;2020-12-01;5
72;2020-12-01;5
73;2020-12-02;5
74;2020-12-02;5
75;2020-12-02;5
76;2020-12-02;5
77;2020-12-02;5
78;2020-12-02;5
79;2020-12-02;5
80;2020-12-02;5
81;2020-12-08;6
82;2020-12-08;6
83;2020-12-08;6
84;2020-12-08;6
85;2020-12-08;6
86;2020-12-08;6
87;2020-12-08;6
88;2020-12-08;6
89;2020-12-09;6
90;2020-12-09;6
91;2020-12-09;6
92;2020-12-09;6
93;2020-12-09;6
94;2020-12-09;6
95;2020-12-09;6
96;2020-12-09;6
