matches_matchID;Teams_teamID
1;24
1;23
2;27
2;25
3;19
3;20
4;30
4;32
5;29
5;31
6;22
6;21
7;17
7;18
8;26
8;28
9;3
9;4
10;5
10;7
11;11
11;12
12;16
12;14
13;9
13;10
14;8
14;6
15;1
15;2
16;15
16;13
17;7
17;8
18;4
18;1
19;12
19;9
20;13
20;16
21;10
21;11
22;6
22;5
23;2
23;3
24;14
24;15
25;19
25;17
26;32
26;29
27;18
27;20
28;31
28;30
29;25
29;26
30;28
30;27
31;21
31;24
32;23
32;22
33;7
33;6
34;4
34;2
35;3
35;1
36;5
36;8
37;16
37;15
38;9
38;11
39;10
39;12
40;14
40;13
41;24
41;22
42;32
42;31
43;18
43;19
44;30
44;29
45;28
45;25
46;23
46;21
47;17
47;20
48;26
48;27
49;20
49;17
50;19
50;18
51;29
51;30
52;31
52;32
53;22
53;24
54;25
54;28
55;27
55;26
56;21
56;23
57;11
57;9
58;6
58;7
59;12
59;10
60;13
60;14
61;8
61;5
62;1
62;3
63;2
63;4
64;15
64;16
65;7
65;5
66;4
66;3
67;12
67;11
68;13
68;15
69;10
69;9
70;6
70;8
71;2
71;1
72;14
72;16
73;19
73;20
74;32
74;30
75;18
75;17
76;31
76;29
77;25
77;27
78;28
78;26
79;21
79;22
80;23
80;24
81;24
81;21
82;22
82;23
83;20
83;18
84;30
84;31
85;27
85;28
86;17
86;19
87;26
87;25
88;29
88;32
89;16
89;13
90;15
90;14
91;3
91;2
92;5
92;6
93;11
93;10
94;9
94;12
95;8
95;7
96;1
96;4
