,round,Date,matchID,ballPosession,corners,freekicks,offsides,score,shotsOnGoal,Teams_teamID,home,team_name,GroupName,matchPoints
138,1,2020-10-20,1,51,8,13,0,1,3,24,1,Zenit,F,0
132,1,2020-10-20,1,49,4,15,3,2,3,23,0,Club Brugge Kv,F,3
156,1,2020-10-20,2,48,2,11,1,0,3,27,1,Dyn. Kyiv,G,0
144,1,2020-10-20,2,52,5,15,0,2,6,25,0,Juventus,G,3
114,1,2020-10-20,3,40,2,22,3,1,3,20,0,Rennes,E,1
108,1,2020-10-20,3,60,3,10,0,1,7,19,1,Krasnodar,E,1
174,1,2020-10-20,4,49,3,19,1,2,7,30,1,RB Leipzig,H,3
186,1,2020-10-20,4,51,2,19,4,0,3,32,0,Baasaksehir,H,0
168,1,2020-10-20,5,59,11,15,3,1,5,29,1,Paris SG,H,0
180,1,2020-10-20,5,41,8,10,2,2,6,31,0,Manchester Utd,H,3
126,1,2020-10-20,6,39,7,8,4,3,5,22,1,Lazio,F,3
120,1,2020-10-20,6,61,6,9,0,1,7,21,0,Dortmund,F,0
96,1,2020-10-20,7,44,2,10,1,0,4,17,1,Chelsea,E,1
102,1,2020-10-20,7,56,5,13,1,0,2,18,0,Sevilla,E,1
150,1,2020-10-20,8,58,5,18,2,5,11,26,1,Barcelona,G,3
162,1,2020-10-20,8,42,0,9,4,1,2,28,0,Ferencvaros,G,0
12,1,2020-10-21,9,52,8,16,0,2,7,3,1,Salzburg,A,1
18,1,2020-10-21,9,48,3,17,0,2,3,4,0,Lokomotiv Moscow,A,1
24,1,2020-10-21,10,57,7,9,4,2,5,5,1,Real Madrid,B,0
36,1,2020-10-21,10,43,1,15,1,3,6,7,0,Shakhtar Donetsk,B,3
66,1,2020-10-21,11,47,3,19,1,0,2,12,0,Marseille,C,0
60,1,2020-10-21,11,53,2,14,7,1,3,11,1,Olympiacos ,C,3
90,1,2020-10-21,12,52,4,15,0,0,3,16,1,Midtjylland,D,0
78,1,2020-10-21,12,48,5,10,3,4,11,14,0,Atalanta,D,3
54,1,2020-10-21,13,35,1,15,0,1,2,10,0,FC Porto,C,0
48,1,2020-10-21,13,65,4,3,0,3,6,9,1,Manchester City,C,3
42,1,2020-10-21,14,56,3,11,3,2,4,8,1,Inter,B,1
30,1,2020-10-21,14,44,2,18,0,2,2,6,0,B. Monchengladbach,B,1
0,1,2020-10-21,15,60,6,18,1,4,5,1,1,Bayern Munich,A,3
6,1,2020-10-21,15,40,7,9,5,0,1,2,0,Atletico Madrid,A,0
72,1,2020-10-21,16,53,9,12,1,1,4,13,0,Liverpool,D,3
84,1,2020-10-21,16,47,3,10,2,0,4,15,1,Ajax,D,0
37,2,2020-10-27,17,43,2,17,0,0,1,7,1,Shakhtar Donetsk,B,1
43,2,2020-10-27,17,57,6,5,3,0,4,8,0,Inter,B,1
1,2,2020-10-27,18,64,4,13,5,2,4,1,0,Bayern Munich,A,3
19,2,2020-10-27,18,36,4,19,2,1,5,4,1,Lokomotiv Moscow,A,0
67,2,2020-10-27,19,37,1,14,3,0,2,12,1,Marseille,C,0
49,2,2020-10-27,19,63,5,8,5,3,4,9,0,Manchester City,C,3
73,2,2020-10-27,20,60,3,11,1,2,2,13,1,Liverpool,D,3
91,2,2020-10-27,20,40,2,12,1,0,2,16,0,Midtjylland,D,0
55,2,2020-10-27,21,45,4,21,0,2,5,10,1,FC Porto,C,3
61,2,2020-10-27,21,55,9,13,4,0,3,11,0,Olympiacos ,C,0
25,2,2020-10-27,22,64,8,21,0,2,6,5,0,Real Madrid,B,1
31,2,2020-10-27,22,36,1,7,2,2,5,6,1,B. Monchengladbach,B,1
13,2,2020-10-27,23,49,5,16,2,2,3,3,0,Salzburg,A,0
7,2,2020-10-27,23,51,9,16,2,3,8,2,1,Atletico Madrid,A,3
85,2,2020-10-27,24,54,6,16,0,2,7,15,0,Ajax,D,1
79,2,2020-10-27,24,46,7,16,5,2,6,14,1,Atalanta,D,1
109,2,2020-10-28,25,33,6,15,2,0,4,19,1,Krasnodar,E,0
97,2,2020-10-28,25,67,4,12,3,4,8,17,0,Chelsea,E,3
169,2,2020-10-28,26,52,5,11,2,2,4,29,0,Paris SG,H,3
187,2,2020-10-28,26,48,6,9,0,0,4,32,1,Baasaksehir,H,0
115,2,2020-10-28,27,38,0,20,0,0,2,20,0,Rennes,E,0
103,2,2020-10-28,27,62,11,19,6,1,7,18,1,Sevilla,E,3
181,2,2020-10-28,28,48,2,22,1,5,8,31,1,Manchester Utd,H,3
175,2,2020-10-28,28,52,5,18,2,0,2,30,0,RB Leipzig,H,0
145,2,2020-10-28,29,48,1,16,3,0,0,25,1,Juventus,G,0
151,2,2020-10-28,29,52,4,20,0,2,5,26,0,Barcelona,G,3
163,2,2020-10-28,30,51,5,11,2,2,4,28,1,Ferencvaros,G,1
157,2,2020-10-28,30,49,3,15,0,2,3,27,0,Dyn. Kyiv,G,1
139,2,2020-10-28,31,35,1,8,2,0,0,24,0,Zenit,F,0
121,2,2020-10-28,31,65,8,7,1,2,6,21,1,Dortmund,F,3
127,2,2020-10-28,32,42,2,20,0,1,3,22,0,Lazio,F,1
