,Teams_teamID,team_name,GroupName,matchPoints,score,ballPosession,corners,shotsOnGoal
0,1,Bayern Munich,A,16,18,61.3,4.8,5.5
1,2,Atletico Madrid,A,9,7,49.5,7.8,4.3
2,3,Salzburg,A,4,10,47.5,7.2,6.8
3,4,Lokomotiv Moscow,A,3,5,41.7,2.8,2.7
4,5,Real Madrid,B,10,11,58.2,9.2,6.2
5,6,B. Monchengladbach,B,8,16,43.8,4.5,4.7
6,7,Shakhtar Donetsk,B,8,5,47.3,2.2,3.0
7,8,Inter,B,6,7,50.7,5.2,3.3
8,9,Manchester City,C,16,13,59.2,6.2,6.5
9,10,FC Porto,C,13,10,41.5,2.3,3.2
10,11,Olympiacos ,C,3,2,49.7,3.3,1.7
11,12,Marseille,C,3,2,49.7,3.7,2.2
12,13,Liverpool,D,13,10,52.5,4.2,4.5
13,14,Atalanta,D,13,68,38.3,4.7,5.3
14,15,Ajax,D,7,7,54.8,5.3,5.0
15,16,Midtjylland,D,1,44,39.5,3.5,4.0
16,17,Chelsea,E,14,14,53.7,4.0,5.5
17,18,Sevilla,E,13,9,57.2,5.0,6.2
18,19,Krasnodar,E,5,6,43.0,4.3,3.7
19,20,Rennes,E,1,3,46.2,5.5,3.8
20,21,Dortmund,F,13,12,55.8,5.8,6.2
21,22,Lazio,F,10,11,46.7,4.3,5.3
22,23,Club Brugge Kv,F,8,8,50.5,4.0,3.0
23,24,Zenit,F,1,4,47.0,3.8,2.5
24,25,Juventus,G,15,14,51.7,3.7,5.2
25,26,Barcelona,G,15,16,57.3,5.0,8.2
26,27,Dyn. Kyiv,G,4,4,44.5,3.7,3.5
27,28,Ferencvaros,G,1,5,46.5,3.8,2.5
28,29,Paris SG,H,12,13,54.2,5.2,4.8
29,30,RB Leipzig,H,12,11,51.3,4.7,4.8
30,31,Manchester Utd,H,9,15,49.7,5.7,6.0
31,32,Baasaksehir,H,3,7,44.8,3.5,3.7
